number,pl_name
1,BD-06 1339 c
2,GJ 3293 c
3,GJ 3323 c
4,GJ 876 c
5,HD 10180 g
6,HD 103891 b
7,HD 10442 b
8,HD 109286 b
9,HD 114729 b
10,HD 125612 b
11,HD 128356 b
12,HD 132406 b
13,HD 141937 b
14,HD 142415 b
15,HD 147513 b
16,HD 159868 b
17,HD 16175 b
18,HD 163607 c
19,HD 165155 b
20,HD 17674 b
21,HD 18015 b
22,HD 181720 b
23,HD 183263 b
24,HD 190647 b
25,HD 213240 b
26,HD 214823 b
27,HD 216437 b
28,HD 219415 b
29,HD 221585 b
30,HD 222582 b
31,HD 224538 b
32,HD 23079 b
33,HD 23127 b
34,HD 34445 b
35,HD 38529 c
36,HD 4113 b
37,HD 43197 b
38,HD 65216 b
39,HD 7199 b
40,HD 9174 b
41,HIP 5158 b
42,KELT-6 c
43,KIC 9663113 b
44,Kapteyn c
45,Kepler-1318 b
46,Kepler-16 b
47,Kepler-1600 b
48,Kepler-1630 b
49,Kepler-1647 b
50,Kepler-1649 c
51,Kepler-1704 b
52,Kepler-1708 b
53,Kepler-174 d
54,Kepler-1868 b
55,Kepler-440 b
56,Kepler-454 c
57,NY Vir c
58,WASP-41 c
59,WASP-47 c
60,Wolf 1061 d
